"","id","q","c","symptomatic_fraction","socialDistancing_other","p_reduced","LogLikelihood","R0","i_chain","loc","S.c","E.c","Is.c","Ia.c","Hs.c","Hc.c","D.c","R.c","S.c.pos","E.c.pos","Is.c.pos","Ia.c.pos","R.c.pos","S.a","E.a","Is.a","Ia.a","Hs.a","Hc.a","D.a","R.a","S.a.pos","E.a.pos","Is.a.pos","Ia.a.pos","R.a.pos","S.rc","E.rc","Is.rc","Ia.rc","Hs.rc","Hc.rc","D.rc","R.rc","S.rc.pos","E.rc.pos","Is.rc.pos","Ia.rc.pos","R.rc.pos","S.fc","E.fc","Is.fc","Ia.fc","Hs.fc","Hc.fc","D.fc","R.fc","S.fc.pos","E.fc.pos","Is.fc.pos","Ia.fc.pos","R.fc.pos","S.e","E.e","Is.e","Ia.e","Hs.e","Hc.e","D.e","R.e","S.e.pos","E.e.pos","Is.e.pos","Ia.e.pos","R.e.pos","H.pos"
"290","2",0.049472,0.942823,0.142297,0.002119,0.614554,-336999.662631,3.179851,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"291","2",0.050946,0.677408,0.173061,0.004638,0.199743,-338536.467212,3.345384,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"292","2",0.049165,0.919004,0.113178,0.380414,0.067721,-335593.478629,3.095426,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"293","2",0.050487,0.865955,0.163361,0.063987,0.205449,-338045.87934,3.293104,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"294","2",0.050204,0.722435,0.138353,0.131355,0.120026,-336804.935447,3.217959,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"295","2",0.048925,0.878234,0.195351,0.171496,0.004553,-339691.376655,3.2619,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"296","2",0.050368,0.821119,0.115007,0.003435,0.659802,-335678.295801,3.175334,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"297","2",0.05136,0.892526,0.118437,0.006781,0.516265,-335840.101308,3.245859,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"298","2",0.051777,0.560464,0.135789,0.11224,0.001337,-336676.863938,3.312798,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"299","2",0.050065,0.931245,0.111826,0.006444,0.715934,-335527.75145,3.149042,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"300","2",0.051457,0.614059,0.173153,0.077141,0.0022,-338540.192289,3.379181,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
